,age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
0,90,0,9,0,0,0,0,0,0,4356,40,0,0
1,82,1,9,0,1,0,0,0,0,4356,18,0,0
2,66,0,10,0,0,1,1,0,0,4356,40,0,0
3,54,1,4,1,2,1,0,0,0,3900,40,0,0
4,41,1,10,2,3,2,0,0,0,3900,40,0,0
5,34,1,9,1,4,1,0,0,0,3770,45,0,0
6,38,1,6,2,5,1,0,1,0,3770,40,0,0
7,74,2,16,3,3,3,0,0,0,3683,20,0,1
8,68,3,9,1,3,0,0,0,0,3683,40,0,0
9,41,1,10,3,6,1,0,1,0,3004,60,1,1
10,45,1,16,1,3,1,1,0,0,3004,35,0,1
11,38,4,15,3,3,0,0,1,0,2824,45,0,1
12,52,1,13,0,4,0,0,0,0,2824,20,0,1
13,32,1,14,2,1,0,0,1,0,2824,55,0,1
14,51,0,16,3,0,0,0,1,0,2824,40,0,1
15,46,1,15,1,3,0,0,1,0,2824,40,0,1
16,45,1,7,1,7,0,0,1,0,2824,76,0,1
17,57,1,14,1,1,0,0,1,0,2824,50,0,1
18,22,1,12,3,8,0,1,1,0,2824,40,1,1
19,34,1,13,2,9,0,0,1,0,2824,50,0,1
20,37,1,13,3,1,0,0,1,0,2824,40,0,1
21,29,1,7,2,9,0,0,0,0,2754,42,0,0
22,61,1,9,1,9,1,0,0,0,2754,25,0,0
23,51,1,10,4,7,4,0,1,0,2603,40,0,0
24,61,0,9,4,0,4,0,1,0,2603,32,0,0
25,21,1,11,4,6,4,0,1,0,2603,40,0,0
26,33,1,2,4,6,0,0,1,0,2603,32,2,0
27,49,1,3,4,4,4,0,1,0,2603,40,3,0
28,37,5,6,3,7,0,0,1,0,2559,50,0,1
29,38,1,6,3,3,0,0,1,0,2559,90,0,1
30,23,1,10,2,4,0,0,1,0,2559,40,0,1
31,59,5,6,0,1,1,0,0,0,2559,50,0,1
32,52,1,15,1,1,0,0,1,0,2559,60,0,1
33,51,1,13,1,1,0,0,1,0,2559,50,0,1
34,60,4,9,3,1,0,1,1,0,2559,50,0,1
35,63,3,16,1,1,0,0,0,0,2559,60,0,1
36,53,1,9,3,9,0,0,1,0,2559,48,0,1
37,51,1,15,3,3,0,0,0,0,2559,50,0,1
38,37,4,16,3,3,0,0,0,0,2559,60,0,1
39,54,1,14,1,3,0,0,0,0,2559,40,0,1
40,44,1,13,1,1,1,0,1,0,2547,50,0,1
41,43,1,14,1,1,1,0,0,0,2547,40,0,1
42,51,1,10,1,5,1,0,0,0,2547,40,0,1
43,43,1,14,1,3,1,0,0,0,2547,40,0,1
44,71,0,9,4,0,4,0,1,0,2489,15,0,0
45,48,1,13,5,9,1,0,0,0,2472,70,0,1
46,71,1,9,4,9,4,0,1,0,2467,52,0,0
47,73,4,9,4,10,4,2,1,0,2457,40,4,0
48,68,0,10,4,0,5,0,0,0,2457,40,0,0
49,67,0,10,4,0,4,0,1,0,2457,40,0,0
50,40,4,15,3,3,0,0,1,0,2444,45,0,1
51,50,1,9,0,9,0,0,0,0,2444,72,0,1
52,51,2,11,1,11,0,0,1,0,2444,39,0,1
53,42,1,10,3,1,0,0,0,0,2444,40,0,1
54,39,1,14,3,9,0,0,1,0,2444,45,0,1
55,32,1,13,3,1,3,0,1,0,2444,50,0,1
56,53,1,10,2,6,0,0,1,0,2444,45,0,1
57,40,6,10,3,12,0,0,1,0,2444,40,0,1
58,38,1,13,3,9,0,0,0,0,2444,45,0,1
59,33,1,11,2,6,0,0,1,0,2444,42,0,1
60,43,1,12,1,6,0,0,1,0,2444,70,0,1
61,50,5,7,3,1,3,0,1,0,2444,40,0,1
62,44,1,10,4,5,5,0,0,0,2415,6,0,1
63,51,4,13,4,9,4,2,1,0,2415,40,5,1
64,41,1,15,4,3,4,0,1,0,2415,40,0,1
65,60,5,11,4,2,4,0,1,0,2415,70,1,1
66,37,1,14,4,1,4,0,1,0,2415,60,0,1
67,55,5,15,4,3,4,0,1,0,2415,35,3,1
68,39,5,13,4,9,4,0,1,0,2415,60,0,1
69,42,5,15,4,3,4,0,1,0,2415,60,0,1
